,Listed By,Listed By Cleaned,Neighborhood,Posting Date,Scrape Date,Source File Name,Title,url,treatment1,treatment2
212,Owner-Anthony Tse,owneranthonytse,FinancialDistrict,11/3/2017,11/10/2017,craigslist_newyork_6372454557_20171110.json,UPDATED 2 bedroom with Large Private Balcony,https://newyork.craigslist.org/mnh/abo/d/updated-2-bedroom-with-large/6372454557.html,0,0
218,Oxfords Real Estate,oxfordsrealestatellc,Harlem/Morningside,11/6/2017,11/10/2017,craigslist_newyork_6376767313_20171110.json,Large2Bed2FullbathHomeElevatorandLaundryDeluxeBuilding115th/5th,https://newyork.craigslist.org/mnh/abo/d/large2bed2fullbathhomeelevator/6376767313.html,0,0
221,Park Avenue/Murray Hill Apartment,parkavenuemurrayhillapartment,MurrayHill,11/7/2017,11/10/2017,craigslist_newyork_6377403585_20171110.json,PARK AVE GEM~2BR/2BA+DINING ALCOVE+TERRACE~~LUX FULL SERVICE BUILDING,https://newyork.craigslist.org/mnh/abo/d/park-ave-gem2br-2badining/6377403585.html,0,0
229,PlaneRealty Mgt NYC,planerealtymgtnyc,EastHarlem,11/8/2017,11/10/2017,craigslist_newyork_6378439478_20171110.json,^LUXURY 2 BED/2 BATH^^24/7 DRM BLDG--GYM -- NO FEE,https://newyork.craigslist.org/mnh/abo/d/luxury-2-bed-2-bath24-7-drm/6378439478.html,0,0
230,"Please email, txt or call David",pleaseemailtxtorcalldavid,EastVillage,10/19/2017,11/10/2017,craigslist_newyork_6352002412_20171110.json,Union Sq / East Village Great location No Fee (East Village),https://newyork.craigslist.org/mnh/abo/d/union-sq-east-village-great/6352002412.html,0,0
236,"Ra Ra Roo, Productions, Inc.",rararooproductionsinc,EastVillage,11/8/2017,11/10/2017,craigslist_newyork_6378593822_20171110.json,HUGE TWO BEDROOM / QUIET/ Working Fire Place / East Village,https://newyork.craigslist.org/mnh/abo/d/huge-two-bedroom-quiet/6378593822.html,0,0
239,RENOVATED SPACIOUS 2BR! DOORMAN! LAUNDRY! NO FEE!,renovated2brprivatebalconyrooftopdeck,MidtownEast,11/5/2017,11/10/2017,craigslist_newyork_6375058809_20171110.json,RENOVATED SPACIOUS 2BR! DOORMAN! LAUNDRY! NO FEE!,https://newyork.craigslist.org/mnh/abo/d/renovated-spacious-2br/6375058809.html,0,0
242,RENTAL APT IN UPPER EAST SIDE AREA,rentalaptinuppereastsidearea,UpperEastSide,11/2/2017,11/10/2017,craigslist_newyork_6371619790_20171110.json,"UNBELIEVABLE 2 BEDROOM, WASHER/DRYER IN UNIT, ALL NEW RENOVATIONS",https://newyork.craigslist.org/mnh/abo/d/unbelievable-2-bedroom-washer/6371619790.html,0,0
243,RENTAL FOR LUXURY APT IN MIDTOWN EAST,rentalforluxuryaptinmidtowneast,MidtownEast,10/12/2017,11/10/2017,craigslist_newyork_6344073056_20171110.json,"LARGE 2 BEDROOM, 24HR DOORMAN, GYM, LAUNDRY, STAINLESS STEEL APLS",https://newyork.craigslist.org/mnh/abo/d/large-2-bedroom-24hr-doorman/6344073056.html,0,0
244,RENTALS IN LUXURY APT MIDTOWN EAST,rentalsinluxuryaptmidtowneast,MidtownEast,10/8/2017,11/10/2017,craigslist_newyork_6338424684_20171110.json,"LARGE 2 BDRM, 24HR DOORMAN, FREE GYM, STAINLESS STEEL APPLIANCES",https://newyork.craigslist.org/mnh/abo/d/large-2-bdrm-24hr-doorman/6338424684.html,0,0
247,Richard Bonilla,richardabonilla,Inwood/WashHts,11/3/2017,11/10/2017,craigslist_newyork_6372579964_20171110.json,Beautiful 2br apartment near Columbia Presbyterian Hospital,https://newyork.craigslist.org/mnh/abo/d/beautiful-2br-apartment-near/6372579964.html,0,0
250,Riverton - David,rivertondavid,Harlem/Morningside,11/4/2017,11/10/2017,craigslist_newyork_6374132804_20171110.json,Take Over My 2B/1B Rent Stabilized Lease,https://newyork.craigslist.org/mnh/abo/d/take-over-my-2b-1b-rent/6374132804.html,0,0
254,Sally Homefinding Inc.,sallyhomefindinginc,UpperWestSide,11/3/2017,11/10/2017,craigslist_newyork_6372278141_20171110.json,Quality Upper West Side 2 Bedroom,https://newyork.craigslist.org/mnh/abo/d/quality-upper-west-side-2/6372278141.html,0,0
259,Seagler Reality -Ashley Burnell,seaglerrealityashleyburnell,MurrayHill,11/7/2017,11/10/2017,craigslist_newyork_6377216787_20171110.json,2BD 1BA Available Immediately,https://newyork.craigslist.org/mnh/abo/d/2bd-1ba-available-immediately/6377216787.html,0,0
266,"Square Management, John Anderson",squaremanagementjohnanderson,UpperEastSide,11/7/2017,11/10/2017,craigslist_newyork_6378127522_20171110.json,Furnished 2-bedroom; use of private yard; pet friendly.,https://newyork.craigslist.org/mnh/abo/d/furnished-2-bedroom-use-of/6378127522.html,0,0
267,SS APPLIANCES! WASHER/DRYER IN UNIT!,ssapplianceswasherdryerinunit,MurrayHill,10/13/2017,11/10/2017,craigslist_newyork_6344311625_20171110.json,NO FEE! FULLY RENOVATED 2BR!  SS APPLIANCES! WASHER/DRYER IN UNIT!,https://newyork.craigslist.org/mnh/abo/d/no-fee-fully-renovated-2br-ss/6344311625.html,0,0
271,Tamara Winbow Christie,tamarawinbowchristie,GreenwichVillage,11/4/2017,11/10/2017,craigslist_newyork_6373653548_20171110.json,No fee New Renovated True 2 bedroom W/D in the unit in West village!,https://newyork.craigslist.org/mnh/abo/d/no-fee-new-renovated-true-2/6373653548.html,0,0
276,The Bisceglia Group - Karen Baskin,thebiscegliagroupkarenbaskin,UpperEastSide,11/3/2017,11/10/2017,craigslist_newyork_6372498221_20171110.json,Beautiful 5 room Apartment!!,https://newyork.craigslist.org/mnh/abo/d/beautiful-5-room-apartment/6372498221.html,0,0
280,"The Octagon, a Bozzuto Community",theoctagonabozzutocommunity,UpperEastSide,11/6/2017,11/10/2017,craigslist_newyork_6376142835_20171110.json,Ready to move 2 bedroom -111- | Roosevelt island - Gym Pool Concierge,https://newyork.craigslist.org/mnh/abo/d/ready-to-move-2-bedroom-111/6376142835.html,0,0
281,THERMOS REALTY & MANAGEMENT- LANDLORD,thermosrealtymanagementlandlord,MidtownEast,11/3/2017,11/10/2017,craigslist_newyork_6372234598_20171110.json,SPACIOUS!  DISHWASHER/WASHER/DRYER! TURTLE BAY!,https://newyork.craigslist.org/mnh/abo/d/spacious-dishwasher-washer/6372234598.html,0,0
284,TIKO EAST VILLAGE/NO FEE,tikoeastvillagenofee,EastVillage,11/6/2017,11/10/2017,craigslist_newyork_6375664390_20171110.json,2BR_ELEVATOR_laundry_ROOF DECK,https://newyork.craigslist.org/mnh/abo/d/2brelevatorlaundryroof-deck/6375664390.html,0,0
287,TracyBrownRealty.com,tracybrownrealtycom,Inwood/WashHts,11/6/2017,11/10/2017,craigslist_newyork_6376075664_20171110.json,RenovatED 2bdrm  GEM _-_ Excelent Views of the HUDSON (oPEn h0UsE),https://newyork.craigslist.org/mnh/abo/d/renovated-2bdrm-gem-excelent/6376075664.html,0,0
290,TRIBECA PPGF>>>>>,tribecappgf,FinancialDistrict,11/6/2017,11/10/2017,craigslist_newyork_6375687561_20171110.json,BRAND NEW HIGH END LUXURY 2 BED/2BATH...NO FEE!,https://newyork.craigslist.org/mnh/abo/d/brand-new-high-end-luxury-2/6375687561.html,0,0
295,U2APARTMENT/Francois Jean-Baptiste Jr,u2apartmentfrancoisjeanbaptistejr,Inwood/WashHts,11/3/2017,11/10/2017,craigslist_newyork_6372867272_20171110.json,Get it while it's HOT,https://newyork.craigslist.org/mnh/abo/d/get-it-while-its-hot/6372867272.html,0,0
296,UDR---21 Chelsea,udr21chelsea,Chelsea,11/4/2017,11/10/2017,craigslist_newyork_6373700051_20171110.json,Prime Chelsea Location with a Doorman,https://newyork.craigslist.org/mnh/abo/d/prime-chelsea-location-with/6373700051.html,0,0
297,UDR-Columbus Square,udrcolumbussquare,UpperWestSide,11/7/2017,11/10/2017,craigslist_newyork_6377160010_20171110.json,Great Upper West Side 2 Bedroom with No Fee,https://newyork.craigslist.org/mnh/abo/d/great-upper-west-side-2/6377160010.html,0,0
306,upper west rental!!,upperwestrental,Harlem/Morningside,11/7/2017,11/10/2017,craigslist_newyork_6377170154_20171110.json,HUGE 2BR /PREWAR BLDG /ELEVATOR  /RENOVATED /SUNNY /PRIME CITY COLLEGE,https://newyork.craigslist.org/mnh/abo/d/huge-2br-prewar-bldg-elevator/6377170154.html,0,0
313,"UWS no fee apartments , great for roomates.",uwsnofeeapartmentsgreatforroomates,UpperWestSide,10/17/2017,11/10/2017,craigslist_newyork_6349960581_20171110.json,"W90S, HUGE 2 BEDROOMS, flex 3,  SUNNY, DOORMAN, ELEVATOR AND LAUNDRY.",https://newyork.craigslist.org/mnh/abo/d/w90s-huge-2-bedrooms-flex-3/6349960581.html,0,0
318,WASHER/DRYER IN UNIT! NO FEE!,washerdryerinunitnofee,MurrayHill,10/15/2017,11/10/2017,craigslist_newyork_6347096904_20171110.json,WASHER/DRYER IN UNIT! NO FEE! HUGE 2BR! LARGE WALK IN CLOSET!,https://newyork.craigslist.org/mnh/abo/d/washer-dryer-in-unit-no-fee/6347096904.html,0,0
319,WASHER/DRYER IN UNIT! PATIO!,washerdryerinunitpatio,Chelsea,10/14/2017,11/10/2017,craigslist_newyork_6346421423_20171110.json,"NO FEE! GUT RENOVATED, SPACIOUS 2BR! WASHER/DRYER IN UNIT! PATIO!",https://newyork.craigslist.org/mnh/abo/d/no-fee-gut-renovated-spacious/6346421423.html,0,0
325,WHITE GLOVE DOORMAN LUXURY NO FEE,whiteglovedoormanluxurynofee,UpperEastSide,10/26/2017,11/10/2017,craigslist_newyork_6362500686_20171110.json,"NO FEE AND $500 GIFT CARD--TOP OF LINE AMENITIES, FULL SVC LUXURY",https://newyork.craigslist.org/mnh/abo/d/no-fee-and-500-gift-card-top/6362500686.html,0,0
329,"Xavier Combs - C&C Apartment Management, LLC",xaviercombsccapartmentmanagementllc,Harlem/Morningside,10/19/2017,11/10/2017,craigslist_newyork_6352654426_20171110.json,320 St. Nicholas Ave. - 2BR/1BA,https://newyork.craigslist.org/mnh/abo/d/320-st-nicholas-ave-2br-1ba/6352654426.html,0,0
